EXP_NAME,EXPERIMENTER,MODEL_FAMILY,FEATURE_MODE,SEED,N_FOLDS,VALIDATION_SCHEME,VAL_SIZE,VAL_STRATIFY,USE_STRATIFIED_KFOLD,SHUFFLE_FOLDS,FOLDS_RANDOM_STATE,SCALER_TYPE,MISSING_VALUE_STRATEGY,MISSING_FILL_VALUE,USE_PCA,PCA_N_COMPONENTS,PCA_WHITEN,PCA_SVD_SOLVER,IMBALANCE_MODE,DECISION_THRESHOLD,train_size,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_per_fold,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,config_json
99A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.14261603355407715,,,
100A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.09760403633117676,,,
101A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.14421439170837402,,,
102A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.11012125015258789,,,
103A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.20522499084472656,,,
104A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.062192678451538086,,,
105A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.11908149719238281,,,
106A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.10195064544677734,,,
107A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.2609870433807373,,,
108A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.05336809158325195,,,
