commit_hash,date,author,subject,status,file_path,old_file_path
a264f087596943c1a424b69222e2463a6a1d8e62,2025-11-16,Zuha Aqib,"experiment 13A, 0.5844",M,logs/logreg_Zuha.csv,
a264f087596943c1a424b69222e2463a6a1d8e62,2025-11-16,Zuha Aqib,"experiment 13A, 0.5844",M,submissions/logreg.csv,
74ae1a49ff5ba7f60cb2e7c158c982c1fc0e5cb3,2025-11-16,Zuha Aqib,"experiment 11A, 0.3820",M,04-logregression.ipynb,
74ae1a49ff5ba7f60cb2e7c158c982c1fc0e5cb3,2025-11-16,Zuha Aqib,"experiment 11A, 0.3820",M,logs/experiments_log_Zuha.csv,
74ae1a49ff5ba7f60cb2e7c158c982c1fc0e5cb3,2025-11-16,Zuha Aqib,"experiment 11A, 0.3820",M,logs/logreg_Zuha.csv,
74ae1a49ff5ba7f60cb2e7c158c982c1fc0e5cb3,2025-11-16,Zuha Aqib,"experiment 11A, 0.3820",M,submissions/logreg.csv,
dc85e5d0837500e2ec17af32120acdf0bb0bd76b,2025-11-16,Zuha Aqib,"experiment 10A, 0.5577",M,01-lightgbm.ipynb,
dc85e5d0837500e2ec17af32120acdf0bb0bd76b,2025-11-16,Zuha Aqib,"experiment 10A, 0.5577",M,logs/experiments_log_Zuha.csv,
dc85e5d0837500e2ec17af32120acdf0bb0bd76b,2025-11-16,Zuha Aqib,"experiment 10A, 0.5577",M,logs/lightgbm_Zuha.csv,
dc85e5d0837500e2ec17af32120acdf0bb0bd76b,2025-11-16,Zuha Aqib,"experiment 10A, 0.5577",M,submissions/submission.csv,
38306786a9d4ed47780da38bc0baca189028b564,2025-11-16,Zuha Aqib,"experiment 9A, 0.5752",M,04-logregression.ipynb,
38306786a9d4ed47780da38bc0baca189028b564,2025-11-16,Zuha Aqib,"experiment 9A, 0.5752",M,logs/experiments_log_Zuha.csv,
38306786a9d4ed47780da38bc0baca189028b564,2025-11-16,Zuha Aqib,"experiment 9A, 0.5752",M,logs/logreg_Zuha.csv,
38306786a9d4ed47780da38bc0baca189028b564,2025-11-16,Zuha Aqib,"experiment 9A, 0.5752",M,submissions/logreg.csv,
63e40d99f10fcb868a6afaf3f576a9088ed138df,2025-11-16,Zuha Aqib,"experiment 8A, 0.5227",M,01-lightgbm.ipynb,
63e40d99f10fcb868a6afaf3f576a9088ed138df,2025-11-16,Zuha Aqib,"experiment 8A, 0.5227",M,logs/experiments_log_Zuha.csv,
63e40d99f10fcb868a6afaf3f576a9088ed138df,2025-11-16,Zuha Aqib,"experiment 8A, 0.5227",M,logs/lightgbm_Zuha.csv,
63e40d99f10fcb868a6afaf3f576a9088ed138df,2025-11-16,Zuha Aqib,"experiment 8A, 0.5227",M,submissions/submission.csv,
436f4d6bf4620a0fa50c887b9c85d6d8f85edf83,2025-11-16,Zuha Aqib,"experiment 7A, 0.6092",M,04-logregression.ipynb,
436f4d6bf4620a0fa50c887b9c85d6d8f85edf83,2025-11-16,Zuha Aqib,"experiment 7A, 0.6092",M,logs/experiments_log_Zuha.csv,
436f4d6bf4620a0fa50c887b9c85d6d8f85edf83,2025-11-16,Zuha Aqib,"experiment 7A, 0.6092",M,logs/logreg_Zuha.csv,
436f4d6bf4620a0fa50c887b9c85d6d8f85edf83,2025-11-16,Zuha Aqib,"experiment 7A, 0.6092",M,submissions/logreg.csv,
12cd05dc543399a52acf2abdc87c08238c1fe919,2025-11-16,Zuha Aqib,experiment 4A,M,01-lightgbm.ipynb,
12cd05dc543399a52acf2abdc87c08238c1fe919,2025-11-16,Zuha Aqib,experiment 4A,M,logs/experiments_log_Zuha.csv,
12cd05dc543399a52acf2abdc87c08238c1fe919,2025-11-16,Zuha Aqib,experiment 4A,M,logs/lightgbm_Zuha.csv,
12cd05dc543399a52acf2abdc87c08238c1fe919,2025-11-16,Zuha Aqib,experiment 4A,M,submissions/submission.csv,
a254c222bbd19c53c2c7522bbb0d07a29212b685,2025-11-16,Zuha Aqib,experiment 6A,M,04-logregression.ipynb,
